推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
CNtei,Solara570,B站,数学,https://space.bilibili.com/3557916,3Blue1Brown翻译团队成员，频道现主攻原创,
CNtei,备胎说车,B站,汽车,https://space.bilibili.com/50063223,比喻狂魔 论文说车,
并不像当学霸的学霸,夹性芝士,B站,性知识科普,https://space.bilibili.com/326081112,,
CNtei,林林Eileen,B站,心理/生物/性教育,https://space.bilibili.com/14803693,bilibili 知名科普UP主,
CNtei,杰里米JeremyEthier,B站,健身,https://space.bilibili.com/1026087701,科学健身博主,
CNtei,森纳映画,B站,游戏/军事,https://space.bilibili.com/1724598,向真理和自由，无名的献身。《不止游戏》系列节目作者,
CNtei,柳行长,B站,金融,https://space.bilibili.com/23326926,抬杠区UP主，气人up主,
CNtei,视知,B站,科普,https://space.bilibili.com/40277880,理解复杂世界,
Sam老师,小榮君,B站,英语学习,https://space.bilibili.com/385183602,通过美剧学英语，事半功倍。up主视频制作精良，便于观看和学习。,
t w l s h r,_碳十二_,b站,科普,,,
djxzmg,up,b站,好玩儿,,,
24爵,肝帝董佳宁,B站,杂谈,,知识类别丰富，涉及时政、历史、人文、军事等等领域，观点独到，轻松幽默,
24爵,有轶见的Kris,B站,杂谈,,知识类别多，时政、历史、人文、军事、情感，观点清奇，角度刁钻,
341028075,高盛元,B站,诗词,,讲的超级好，耳熟能详的唐诗其实别有洞天，不愧是经典诗词,
24爵,小约翰可汗,B站,历史事件和人物,,另类角度解读历史事件和人物，保证让你捧腹,
刘露文,沈逸老师,B站,政治，国际关系,https://b23.tv/O61Qcxy,特别特别厉害的一个老师，我对政治中美关系一点都没兴趣，但是每次沈逸老师的视频都会看，特别有趣,
HDBLMM,冷静医夏,B站,中医科普,UID：492830117,科普中医知识，风格有趣可爱，讲的通俗易懂,
于阳阳阳阳,思维实验室,B站,杂系知识区up主,https://space.bilibili.com/14583962,从历史到科技，从宗教到人体，不一样的知识让人眼前一亮,
于阳阳阳阳,心医林霖,B站,知识区,https://space.bilibili.com/492808243,缓存区UP，强烈推荐，知识涉及到各个方面,
南初Nancy,学生化的秃哥哥,B站,生物化学,https://space.bilibili.com/358012574/?share_session_id=0231FF65-0969-4E99-8F49-BE0EF4226DBF&share_source=copy_link&share_medium=ipad&bbid=YA4AEAA4FC3570984B6C82C56CA618B5A811&ts=1639749742,真的是一个宝藏博主 感觉很细心而且课程还挺有趣并且免费啊！！！,
UID:1294084223,碳十二,b站,知识,,,
