推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
四月是谁的谎言M,Jason—老湿,,B站,https://space.bilibili.com/540564177/?share_source=copy_link&share_medium=iphone&bbid=Z640416BE77D6CD24914A791ED03F8CED5CC&ts=1612783889,,2021.2.8
妖怪测谎仪,yuka老师,日语,B站,https://space.bilibili.com/485503730,,2021.2.8
中医雨霁,中科院格致论道讲坛,各种尖端科学论道,B站,http://space.bilibili.com/447261734/,中科院格致论道讲坛由中国科学院全力推出的科学文化讲坛，由中国科学院计算机网络信息中心和中国科学院科学传播局联合主办。致力于非凡思想的跨界传播，旨在以“格物致知”的精神探讨科技、教育、生活、未来的发展。,2021.2.8
丽日枫凪,新世纪之光,CFD,B站,https://space.bilibili.com/176075?spm_id_from=333.788.b_765f7570696e666f.2,天大的教师，蝙蝠时代被迫出道的，讲的很通俗易懂,2021.2.8
Ocean,老爸评测,,,,少交智商税,2021/2/8
我是初墨我姓熊,智能路障,鲁迅,B站,https://space.bilibili.com/79577853?share_medium=android&share_source=copy_link&bbid=XYDA138DA6550513AA57842955B1BB84C9C7B&ts=1612798785432,鲁迅生平，以及鲁迅著名作品栏目,2021.2.8
Thello,正月点灯笼,编程,B站,https://b23.tv/Ifl7XD,尽管计算机和编程什么的跟我自己的专业顶多半毛钱关系，但是我觉得他讲东西和解释都非常清楚，有时甚至都觉得我看上瘾了。,2021.2.8
Thello,帆雨动画,机械原理,B站,https://b23.tv/ai2mVC,机械原理小动画，非常神奇。,2021.2.8
Thello,稚晖君,,B站,https://b23.tv/Vc752Z,总而言之实在是太厉害了，自称野生钢铁侠，独立开发迷你电子产品,2021.2.8
萌萌哒的酸奶片,汤质看本质,哲学，哲学史,B站,https://space.bilibili.com/362588980?from=search&seid=1912393903864066673,简要介绍哲学是什么，为了什么，为什么要学哲学。还有一大堆哲学科普教你适应这个世界.,2020.2.9
萌萌哒的酸奶片,薛定饿了么,物理，数学,B站,https://space.bilibili.com/44473221?from=search&seid=8088246349130514384,通过生动有趣的科普视频来介绍数学以及物理学中的各种深奥而又有趣的内容,2020.2.9
Туманвский,JHTV,Maya/3D建模,B站,https://space.bilibili.com/72488046,曲线建模，uv排布，简单动画，骨骼绑定,2021.2.9
Туманвский,龚老师课堂,Maya，zb/3D建模,B站,https://space.bilibili.com/98828888/video?tid=0&page=5&keyword=&order=pubdate,主流3D软件大部分功能教学，介绍,2021.2.9
sin,一数,数学竞赛,B站,https://space.bilibili.com/14229967?from=search&seid=10028804473132962898,基础，扎实，经典，拔高,2021.2.9
sin,HuangFuRen,物理,B站,https://space.bilibili.com/23630128?from=search&seid=1126913047084698945,适合高一至高三,2021.2.9
北大学长,求职救星瑞秋姐姐,求职教育,B站,https://space.bilibili.com/471151393,很厉害的一个500强HR分享求职技巧,2021.2.9
Alan FEVM,硬核麻将,电子音乐，编曲,B站,https://space.bilibili.com/14321190?from=search&seid=5145131305589045072,讲解很厉害的操作，深入混音，告别野鸡教程,2021.2.9
纯情的小火鸡,学习使我快乐到无与伦比（不重要）,哲学，生死,B站,https://www.bilibili.com/video/BV1P7411C7Gz,耶鲁大学的老师，视频看起来古老一些，对于究竟何为死亡，灵魂与肉体，等这一类问题将在本视频里得到很好的解答。,2021.2.9
Tristesse_STK,SchelleyYuki,计算机编程,B站,https://space.bilibili.com/2630977/,Schelley姐会分享对于计算机编程方面的知识与心得，给我的感觉非常专业，语言与动作的表达让人很舒服，而且能感觉到都是自己消化出来的，并非网上东抄西抄的。个人认为比较适合想要转专业到计算机领域的人。,2021.2.9
一芽二哟哦,画画的番木,绘画教学,B站,https://b23.tv/RopNj6,一个超级好的绘画教学博主！入门自学画画的可以去康康: https://b23.tv/C4eUeC 我是这个视频入坑的,2021.2.9
蓝白型冷笑话bot,拉片实验室,,B站,https://space.bilibili.com/18248648/video,干货满满，谁看谁知道,2021.2.9
鲁迅有一块朽木疙瘩,DR.CAN,机器人学与控制 / SCI论文写作,B站,https://space.bilibili.com/230105574,对于学控制的研究生群体很有帮助，不仅能有滋有味滴学到控制科学相关的课程，甚至能教你SCI论文写作（宝藏博主甚至还用现代控制理论去分析爱情，这样的宝藏博主绝对爱了！,2021.2.9
小鳥遊ＬＦ,HangFuRen,高中物理,B站,https://space.bilibili.com/23630128/dynamic,主要为高中物理 讲的很细 可以当作课后的温习,2021.2.9
