推荐人ID,推荐课程名称,老师（博主）名称,4.推荐课程对应领域,课程所在平台,跳转链接,推荐理由,推荐日期
今天也想吃肉,视频制作,老师好我是何同学,,B站官方账号,BV1EW411R77n,运营,2021.1.17
,鲁迅小说解读,智能路障,,B站官方账号,BV1Pr4y1T7vc,考证用心，解读细致,2021.1.17
-XXAY-,锻炼,美丽芭蕾,空,B站官方账号,,懂得都懂  强度大且有用,2021.1.17
华霑HZ,社会事件、读书,看理想,空,B站官方账号,（推荐了里面有关梁文道的内容）,包罗万象，很适合走在路上的时候听,2021.1.17
六道而已,手绘or板绘,看理想,空,B站官方账号/微信公众号,,简单易懂，教的细致，对自学友好。,2021.1.17
yesi,学习方法,Yjango,空,B站官方账号,https://space.bilibili.com/344849038?from=search&seid=9920948756171437388,学习观的视频是对我个人影响最大的视频，讲解学习方法的视频有许许多多，然而学习观的野心不止于此他不但要告诉你学习的原理还从信息论的角度深入分析生物进化说明为什么生物需要学习，以及学习的底层原理。,2021.1.17
春末的南方城市,,小播读书,空,B站up主,,,2012.1.17
yesi,解释各类学科的关键模型,汤质看本质,空,B站官方账号,https://www.bilibili.com/video/BV1f4411x7E9,培养自己的抽象思维能力，学习用各类模型更好的看清世界，推荐给喜欢哲学的朋友,2021.1.17
远志学,上古史,神都俗人,空,B站官方账号,BV11K41137DL
BV1aE411575x,对了解上古史有帮助,2021.1.19
远志学,经济危机及其应对政策的国际比较,温铁军老师,空,超星慕课/福建农林大学在线课程,https://mooc1-2.chaoxing.com/nodedetailcontroller/visitnodedetail?courseId=206199750&knowledgeId=241221787,B站的不全，福建农林在线课程是完整的。逻辑清晰，言简意赅,2021.1.20
远志学,《名老中医之路》导读,李董男,空,,BV1so4y1o77j,没有集合散版，蛮不错,2021.1.20
远志学,中国古代历史文献研究讲座,李董男,,B站,BV1cQ4y1T7zD,没有集合散版，蛮不错,2021.1.20
逍遥,Pr软件详细教程（7小时+）,B站ID：贝塔珐,,B站up主（作者授权）,学,适合0基础完全不会的入门,2021.1.20
逍遥,CDR软件详细教程（16小时+）,B站ID：昊哥5705,,B站up主,BV1AJ411x7uf,内容详细、适合0基础，还附带广告设计类知识,2021.1.20
逍遥,AI软件详细教程（11小时+）,B站ID：柴大丰老师,,B站up主,BV1ox411f7tA,适合想往平面设计方向的朋友学习，配合CDR更佳,2021.1.20
逍遥,CAD软件详细教程（291小时+）,B站ID：达内官方账号,,B站官方账号,BV1df4y1C7om,不只是CAD，还有相关的PS、AI、3Dmax等软件基础教程，以及CAD行业相关知识,2021.1.20
逍遥,3D-max软件详细教程（73小时+）,B站ID：CAD室内设计,,B站up主,BV14Q4y1T7XH,非常3Dmax软件操作教程，以及灯光、材质、渲染等理论原理知识,2021.1.20
逍遥,C4D软件基础详细教程（9小时+）,B站ID：辉辉讲设计,,B站up主,BV1zx411976G,逐步讲解C4D软件操作，内容详细,2021.1.20
逍遥,C4D软件进阶教程（16小时+）,B站ID：李翔SCU,,B站up主,BV177411P7d1,共计10个设计案例，会基础的可忽略基础讲解部分，重在设计方面,2021.1.20
逍遥,AE软件详细教程（66小时+）,B站ID：明狮网李老师,,B站up主,BV1Vt411d7or,全网最推荐的一套AE软件教程,2021.1.20
逍遥,Studio One 4软件详细教程（2小时+）,B站ID：莱音喵STUDIO,,B站up主,BV15t411C7Qr,Studio One教程，混音调音专用,2021.1.20
逍遥,0基础乐理教程（35小时+）,B站ID：乐球网,,B站up主,BV14x411s7KZ,入门级教程，轻松愉快的课堂,2021.1.20
逍遥,混音教程（3小时+）,B站ID：面包音乐,,B站up主,BV18J411g7jX,混音初级教程，能带你入门，但仍需多练,2021.1.20
逍遥,混音教程（多视频）,B站ID：谢小啵JunjSix,,B站up主,BV1u7411t7tc,混音初级与精深教程,2021.1.20
fan19zju,流行声乐自学教程,Da老师,,B站up主,https://www.bilibili.com/read/cv9300480?spm_id_from=333.788.b_636f6d6d656e74.6,Da老师的流行唱法教程是一整套讲下来而且全部免费的，教的很详细很认真，是真的可以提高声乐水平的课程,2021.2.22
常想一二,绘画（水彩）,B站ID:常想一二––,,B站up主,https://space.bilibili.com/6238022/,看老师画画也特治愈,2021.1.21
弱水无音,PS、PR、AE、AI、AU等多种软件系统性基础教学。,OEASY,,B站up主,https://space.bilibili.com/2884629?share_medium=android&share_source=copy_link&bbid=XY6D0EB695B3C558FD5B51319050BEA0E515B&ts=1611199122717,UP是中国传媒大学的老师吧，讲的比较仔细，很有上课的氛围，哈哈。老师自己的兴趣挺广泛的，里面有很多软件的基础课程，很适合自学。老师也有给素材，方便练习,2021.1.21
炽雁,各种软件教学网站,网站：我要自学网,,我要自学网,,汇聚各类软件的视频教程（eg：CAD 3Dmax PS等软件），类别清晰，分类齐全，质量总体不错，个别课程需要付费,2021.1.21
,,,,,,,2021.6.24
猫不吃小鱼干,社会学概论,卢晖临,,网易公开课,http://open.163.com/newview/movie/courseintro?newurl=MDPROOG8D,,2021.1.21
Djksks,爱情,沈奕斐,,中国大学MOOC,https://www.icourse163.org/course/FUDAN-1205701807,,2021.21
djksks,心理学,TalBen Shahar,,网易公开课,,,2021.2.1
澹月骑,涵盖中高考相关课程,好慕课,,好慕课,https://haomooc.com/,由北京重点中学教师提供的各科目的公开免费课程，网站提供视频下载，个人正在高三备考，感觉不错，对于高中知识有一个系统化梳理。,2021.1.22
真永,佛教哲学,闲者知无涯,,喜马拉雅,http://xima.tv/POlER7?_sonic=0,严谨的学术路线  系统的佛教哲学  脱离宗教的束缚  看到另一种独特的世界观,2021.1.23
