推荐人ID,推荐课程名称,授课老师,课程对应专业,课程所在平台,跳转链接,推荐人专业,推荐语,推荐日期
杀杀菌,哲学通论,孙正律,哲学,网易公开课,http://open.163.com/newview/movie/courseintro?newurl=%2Fspecial%2Fcuvocw%2Fzhexuetonglun.html,音乐,哲学入门，也可以算是给你一个哲学框架，总共只有5讲，却受益匪浅，建议配合教授写的书（书已成教材）一起食用，效果更佳,2021年1月18日
杭奕,哲学史,吴晓明,哲学系、思政教育,B站（搜索吴晓明）,https://www.bilibili.com/video/BV11x411i7RR?from=search&seid=8114233094405296433,马原、马克思主义哲学,具有启发意义的马克思主义哲学史入门视频,2021年3月1日
杭奕,哲学史,张志伟,哲学系,,https://www.bilibili.com/video/BV16t411p7n8?from=search&seid=15504999488294432164,哲学史,西方哲学史入门视频,2021年3月1日
鹤鸣山居,兆筱-轻松学习高等数学,兆筱小分队,高等数学,b站官方账号,https://space.bilibili.com/386629955,市场营销,up是一位声音温柔好听，讲课条理明晰的学长,2021年2月8日
十五的月亮十六袁,原子物理学,物理系的允文君,原子物理学,b站up主,https://www.bilibili.com/video/BV1RW411N7kg,大学物理,分享的网址只有绪论，其他优质课程在他个人主页里找,2021年2月9日
干饭王,原子核物理,赵玉杰,核工程与核技术,智慧树,https://coursehome.zhihuishu.com/courseHome/1000008824#teachTeam,核工程与核技术,对于想学核专业的同学，入门相对友好且难度相对较小,2021年2月8日
星川風海,园林树木学,于晓南,风景园林,B站up主官方,https://www.bilibili.com/video/BV1Y64y1M7Ar,风景园林,,2021年2月9日
驹驹特爱笑,语言传播的发声艺术,赵俐、徐树华、孙艳梅、潘洁,播音与主持艺术,中国大学MOOC,https://www.icourse163.org/course/CUC-1462063164,播音与主持艺术,本课程主要从呼吸、吐字、发声、共鸣和情声气结合等方面进行讲解和训练，帮助播音主持专业学生以及其他进行语言传播的朋友提高用声能力，提升声音形象，获得更好的表达效果。,2021年2月10日
碳碳apartment,玉雕与玉器,郭颖,宝石材料学,网易公开课,https://open.163.com/newview/movie/free?pid=M98F2ENTN&mid=M98PHBOKO,材料化学,老师绘声绘色地讲述玉与玉文化，校园公开课供不应求,2021年2月9日
期末头秃人,有趣的病理学（学校很受欢迎的选修课）,B站-程Sir只是个老师,临床病理学,B站up主,BV11N411d7z1,临床医学,病理学并不是枯燥的，也是很有趣。,2021年2月9日
某常见物质,有机化学先修课系列,B站up主楼上工具人,有机化学,B站up主,BV1at4y1B7Ju,有机化学,以学生视角制作的网课，低起点起步讲解基础知识，课程链接可能会再次更新,2021年2月10日
无,有机化学,李艳梅,有机化学,学堂在线,https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result,药学,看过都说好,2021年1月17日
天気,有机化学,李艳梅,有机化学,学堂在线,https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result,生物技术,条理很清晰，重点也很清楚,2021年1月18日
南坊二狗子,有机化学,曹敏惠、江洪,有机化学,中国大学mooc,http://163.lu/WkrXP0,有机化学,复习时发现，强推曹敏惠老师的课时，曹老师讲课非常有亲和力，而且清晰明白，曹老师很有人格魅力，大爱。,2021年2月9日
学到头秃才算完,有机化学,李艳梅,化学、药学,学堂在线,https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result,药学,老师将有机化学讲的非常透彻、细致，看了一定受益良多。考研、感兴趣都可以看看。,2021年2月9日
学到头秃才算完,有机化学,芦金荣,药学,中国大学mooc,直接搜索中国药科大学有机化学,药学,大家一定要看芦老师的有机化学好嘛，真的讲的太好了，我预习复习都看芦老师的视频,2021年2月9日
曹阳trainee,有机化学,李艳梅,化学,学堂在线,https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result,应用化学,综合观看后B站李艳梅yyds,2021年2月9日
安隽,英语语音知识,田朝霞,英语,官方,http://sope.ruc.edu.cn/displaynews.php?id=927,英语,结合中国学生语音学习过程中出现的问题进行教学,2021年1月16日
,英语语音,叶航,英语,中国大学mooc,,会计,,
halaspud,英语听力、口语、日常表达,Coachshane,英语,B站官方账号,BV1U7411a7xG,英语,语速适中，句子经典，分析清楚详细，还有就是老师很有趣,2021年1月18日
无人深空,影视基本理论,陈旭光,导演系,B站官方账号,BV1eW411Z7Sn,导演系,文学艺术修养以及世界电影历史发展历程,2021年2月10日
无人深空,影视基本理论,钟大丰,导演系,B站官方up,BV1b4411w74v,导演系,考研、框架整理线索、快速理清知识点,2021年2月10日
东方月圆,音乐教程,b站三分钟音乐社,音乐,B站up主官方号,https://b23.tv/ZRwzB7,音乐,从零开始学音乐,2021年1月19日
衡沐LM,艺术史,朱青生,历史,爱课程,http://www.icourses.cn/web/sword/portal/videoDetail?,城乡规划,以“中国的眼光，现代的立场”来具体陈述如何建造一条民族之间增进了解、各文明之间互相理解、互相尊重的道路，解释中国如何做一个世界艺术史的研究和解说。,2021年1月18日
化学点心,仪器分析,杨屹 、杜振霞等,分析化学,爱课程（国家精品课）,http://www.icourses.cn/sCourse/course_6064.html,化学,老师能联系实际，联系实际，知识点很详细，重点突出，可用于考研,2021年2月10日
青山不老asdf,耶鲁大学人性的哲学与科学,B站up农夫cc,,,,,,2021年8月24日
无,药理学,课程组老师,药学,爱课程,http://www.icourses.cn/sCourse/course_6450.html,药学,药理学这个绝对够,2021年1月17日
努力腌自己的盐巴罐子,学前儿童观察与评价/幼儿园课程,梁慧娟,学前儿童观察与评价/幼儿园课程,暂时没找到（这一条我就是想来跟大家梳理一下学前教育的学科知识框架）,首先，是教育学基础、心理学基础、中外教育史、师德、生理学、教育统计学、spss、教育科学研究方法、解剖学......这些基础学科,学前教育专业,然后是学前教育学，学前心理学，学前卫生学，学前儿童健康、科学、社会、数学、语言（这些都是并列的）教育，学前儿童观察评价，幼儿园游戏，幼儿园课程，中外学前教育史......这些核心支柱科目,2021年1月28日
努力腌自己的盐巴罐子,学前儿童观察与评价,视频（用于观察评价）,学前教育,腾讯视频,https://v.qq.com/detail/0/04wf1o2h8grzp70.html,学前教育专业,上课我们好多老师都提到过，还有老师在课上给我们时间观察过，系主任教的学前儿童观察与评价，自己课下找了这个视频看了看。确实能让你体会到幼儿园教师作为观察者评价者的作用，适合反复观看。,2021年1月28日
_碳十二_,刑事诉讼法,蔡元培,法学,中国大学MOOC,https://www.icourse163.org/course/cupl-1462063165,侦查学,,2021年1月15日
巫术的分类,幸福课（积极心理学）,TalBen Shahar,心理学,网易公开课,,哲学/宗教学,幸福圣经,2021年2月9日
弦鱼,信息与系统(Signal & Systems),Alan V. Oppenheim,信息系统,网易公开课,https://open.163.com/newview/movie/free?pid=M8AROL7GG&mid=M8AROOU9F,电子工程,信号分析入门,2021年1月17日
无缝苍蝇不叮蛋,信息素养：效率提升与终身学习的新引擎,周建芳,图书馆学,中国大学mooc,,生物技术,系统教授如何查找自己需要资源的一门课程，超级无敌实用！,2021年1月28日
joe,信息论与编码理论,雷菁,电子信息类,爱课程,http://www.icourses.cn/sCourse/course_3257.html,电子信息,听了一遍，期末轻松95+,2021年1月18日
弦鱼,信息论(Principles of Digital Communications I),Robert Gallager,信息系统,OCW,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-450-principles-of-digital-communications-i-fall-2006/index.htm,电子工程,生肉预警(可能需要翻墙),2021年1月17日
小斯,新媒体文化十二讲,刘涛,传播学,中国大学mooc,,会计跨考新传,,2021年6月13日
罗小格,信号与系统/数字信号处理,讲信号与系统的潘老师,信号与系统/数字信号处理,B站up主本人,https://www.bilibili.com/video/BV127411M7BU,电子信息工程,要点清晰简明，注重实践，以实际做题为核心，适合有一定基础的同学考前复习,2021年2月9日
连胜酱,信号与系统（西安电子科技大学的系列）,郭宝龙,电子信息,b站官号,https://www.bilibili.com/medialist/detail/ml1260506903?type=1&spm_id_from=333.999.0.0,通信工程,专业基础课可看,2021年7月30日
