推荐人ID,推荐课程名称,授课老师,课程对应专业,课程所在平台,跳转链接,推荐人专业,推荐语,推荐日期
羽过天晴啦啦啦,STC15单片机,,单片机,B站,https://m.bilibili.com/video/BV1WC4y1t7Ay,自动化,特别适合单片机入门,2021年2月9日
飒飒飒,数字信号处理,李雅梅,测控技术与仪器,学堂在线,https://www.xuetangx.com/course/lntu08071001291/4230577,测控技术与仪器,课程讲解清晰 条理分明 有独到见解 适合测控专业的学生入门学习,2021年2月8日
suda,数字电子技术基础（讲的非常细致清楚，适合初学者，0基础）,齐明,电控,中国大学mooc,https://www.icourse163.org/course/HIT-254001,机械电子工程,,2021年2月9日
如水行年,数字电路与逻辑设计,任爱锋,数电,超星,http://ssvideo.superlib.com/cxvideo/play/page;jsessionid=0E1A6CEBFCEE2A806C2E9C232E85516F.cxvideo_web_18.30?sid=5913&vid=89557&cid=222&d=c0f868dd2b521a825f3a54d37d48072a,信息工程,老师讲课条理清晰且易懂，内容详实,2021年2月1日
WY永远的神,数字电路与逻辑设计,任爱锋,数字电路与逻辑设计,超星名师,http://ssvideo.superlib.com/cxvideo/play/page;jsessionid=0E1A6CEBFCEE2A806C2E9C232E85516F.cxvideo_web_18.30?sid=5913&vid=89557&cid=222&d=c0f868dd2b521a825f3a54d37d48072a,计算机,非常详细，由浅入深，一定要看几节再评价,2021年2月9日
baozi921,数学物理方法,周国权,物理学,爱课程,http://www.icourses.cn/sCourse/course_3450.html,物理学,讲的很全面，但是课时超级多，适合筛选章节来听,2021年1月29日
麦克思维,数学分析B,程艺,数学,b站官方账号,BV1Lv411r7wa,少年班,适合所有理工科同学，可以和数学专业的数学分析无缝衔接,2021年2月8日
奶油杏菜,树木学,多位老师,园林,中国大学MOOC,https://www.icourse163.org/course/BFU-1003762014?tid=1206887234,园林,根据科属分类进行讲解，生动形象，比自己背有用多了,2021年1月18日
世界现存最可爱人类,数据挖掘：理论与算法（国家级精品课）,袁博,数据科学,学堂在线,https://www.bilibili.com/video/BV154411Q7mG?p=1,数据科学与大数据技术,,2021年2月8日
星海的游吟诗人,数据库系统,战德臣,计算机科学与技术,中国大学MOOC,https://www.icourse163.org/course/HIT-1001516002,,根据相关国外教材讲解，内容优质全面。哈工大的计算机科学课程有保障,2021年1月17日
樊老师的刘同学,数据结构与算法基础,王卓,计算机科学与技术,B站up主本人,BV1Ts411c7ZX,计算机科学与技术,老师讲的数据结构很细致，非常适合刚入门的对C语言还不是特别熟悉的同学,2021年2月9日
Stack_Overflow-,数据结构与算法基础,王卓,计算机,B站（已获得老师授权）,BV1nJ411V7bd,计算机,讲的细致入微，条理清晰。,2021年2月9日
坐忘心斋澄明镜,书法审美与实践,方建勋,书法,b站官方账号,https://b23.tv/4YxmwV,书法,了解书法基础,2021年1月18日
骨叽骨叽,视觉传达设计思维与方法,陈楠,美术设计系,学堂在线,https://www.xuetangx.com/course/THU13051000381/4230642,美术系,在设计领域非常有水平的课程，里面主要讲解了陈楠教授自己的艺术审美体系，并且有很多具有发散性思考的陈楠教授自己参与的项目（包括08奥运会的主美设计等）和学生作业思考。陈楠老师本人的艺术思想也非常开放和超前，这在美术系的大学公开课中是很难能可贵的。,2021年2月10日
小小哇哇,诗经导读,李山老师,汉语言文学,超星,https://mooc1.chaoxing.com/course/203386383.html,汉语言文学,李老师做学术严谨执着，讲课严肃中有幽默犀利,2021年1月19日
小小哇哇,史记人物形象,过常宝老师,汉语言文学,爱课程,http://www.icourses.cn/web/sword/portal/videoDetail?courseId=ff80808141db790e0141dea0673d01aa#/?resId=ff80808141db790e0141dea1739801ac,汉语言文学,听完豁然开朗,2021年1月19日
榊噬,十次经济危机及其应对政策的国际比较专题讲座,温铁军,经济学,B站,BV1xe411W7yi,,温老的视频看了就知道，无需多言,2021年1月18日
乌漆麻黑,实变函数,b站up主ModuliSpace,数学与应用数学,b站官方账号,搜实变函数出来第一个的,数学与应用数学,up主自制的，讲的不全面但是重点要点都讲了，跟细致很清晰很透彻！真的醍醐灌顶！对于更深理解之前学的数学分析之类的也很有用！,2021年1月18日
无缝苍蝇不叮蛋,生物学概念与途径,饶毅等,生物学,中国大学mooc,,生物技术,本人认为是中国生物类最好的通识课程，中国最顶级的一批科学家授课，不论是对于生物专业还是非生物专业，都值得一看,2021年1月28日
-XXAY-,生物信息学,,生信,中国大学MOOC,https://www.icourse163.org/course/SDU-1001907001?tid=1450236461,生信,通俗易懂 十分易懂,2021年1月17日
天気,生物化学原理,不知道老师的名字,生物科学,courses.edx,https://courses.edx.org/courses/course-v1:harvardx+MCB63x+2T2018/course/,生物技术,英文课程比较困难，但讲得很清晰,2021年1月18日
小糊涂的大梦想,生物化学与分子生物学,华中科技大学孙军,化学,b站,BV1fJ411U72Z,化学,,2021年2月15日
小问号有很多问号,生物化学,阿男老师,生物化学,b站官方账号,,园艺,老师是某医学院的，课程是分模块来讲的，适合期末复习用,2021年1月19日
interesting,生理学,罗自强，管茶香,生理学,爱课程,http://www.icourses.cn/sCourse/course_6701.html,临床医学,,2021年1月18日
枝丫儿,神韵诗研究,王小舒,古代文学,MOOC,直接搜,汉语言文学,审美享受，中国式的文论理解,2021年2月9日
东方月圆,设计,b站up主oooooohmygosh,设计,B站up主官方号,https://b23.tv/2hP2v3,设计,硬盒且有趣,2021年1月19日
王富贵,社会调查研究方法,邱泽奇,社会学,中国大学MOOC,,社会学,蛮适合入门的同学，侧重于对概念的理解和解读，适用于社会调查研究,2021年2月9日
ξ,社会认知心理学,John F. Kihlstrom,心理学,网易公开课,https://open.163.com/newview/movie/free?pid=M6GL9GG5E&mid=M6GL9N5PG,心理学,对于社会认知心理学的初步了解，学习人与人之间的交互关系，以及人是如何认识自己和周遭世界的,2021年2月9日
风-城-烟-雨,尚学堂java就业班全套视频,**,计算机编程语言,B站up主,,Java全栈,这个课程很全面，适合选完java基础的同学（注解反射、IO框架）之后的同学进行学习，里面有MySQL数据库、spring、等一些架构，建议学完。,2021年2月10日
SW斯凯沃克,色彩密码,黄茜,建筑学,中国大学MOOC,https://www.icourse163.org/course/HNU-1460821161,建筑学,生动有趣的色彩学课程，迅速帮助色彩小白建立起色彩认知的知识体系。,2021年2月10日
枝丫儿,塞万提斯的堂吉诃德,,外国文学,网易公开课,直接搜,汉语言文学,对西方文学传统有一个宏观掌握，不仅谈及一本书,2021年2月9日
东方月圆,软件教程,b站up主oeasy,各种软件教程,B站up主官方号,直接搜,动漫,他给的实在是太多了,2021年1月19日
地理人,认知神经科学,杨孛梵,心理学,中国大学MOOC http://www.icourse163.org/course/NTHU-451014,直接百度搜认知神经科学网课，不要在mooc搜，不然看不到，我也不知道为啥,心理学,讲述了很多神经生理机制,2021年1月18日
酸菜鱼爱看咸蛋黄,人体解剖学,霍琨,人体解剖学,辽宁资源共享,http://sharecourse.upln.cn/pdt/sharecourse/index.html,医学检验技术,霍琨yyds 考试月全靠他 个人觉得人解系解都可以去看（局解不太清楚）手画图讲解同步有助于理解 尤其是细节 另 这个网站的课都还不错,2021年2月8日
须臾,React基础教程,技术胖,计算机,B站up本人,https://www.bilibili.com/video/BV1nx411s7Cy,计算机,适合react初学(不太依赖于VUE基础），老师博客有代码和笔记，看得很爽，建议控制在三天学完，但一定要结合文档，否则应用起来会有困难。,2021年2月9日
十五的月亮十六袁,热学,物理系的允文君,热学,b站up主,https://www.bilibili.com/video/BV1Cx41127Zx,大学物理,分享的网址只有绪论，其他优质课程在他个人主页里找,2021年2月9日
MOUSEAT,热力学与统计物流,金晓峰,物理,爱课程,http://www.icourses.cn/sCourse/course_5922.html,化学,会穿插很多热力学的原始文献,2021年2月9日
Doubllllllz,rainboylvx个人空间,rainboylvx,算法竞赛,B站UP主,https://space.bilibili.com/256409/video,软件工程,相比陈锋更为基础的算法解析（通俗易懂，配合陈锋的算法竞赛食用更佳）（up写的Rbook非常值得一看）,2021年2月9日
丽日枫凪,QT入门,,QT/C++程序设计,B站官方账号,https://www.bilibili.com/video/BV1g4411H78N,软件工程,讲的很清楚，而且是对着帮助文档教的，想必大家初次接触这种东西很难会利用帮助文档吧，这份教程也可以用来学习使用帮助文档,2021年2月8日
lb8023lyyForever,嵌入式 Linux 作業系統,李博明,電子系,YouTube公开课,https://www.youtube.com/watch?v=pn7Akg4C2Nk&list=PLdrYbn8q6soONlL-aEc9b8bKeAtgK0VmB,计算机,,2021年3月1日
δ,pytorch深度学习实践,刘洪普,计算机,B站官方账号,https://www.bilibili.com/video/av97078147,资源勘查,反正就是以前没看懂, 这次看懂了,2021年2月9日
晨曦,python全套视频教程（700集）,千峰教育python学院,python,b站官方账号,https://www.bilibili.com/video/BV1R7411F7JV,计算机,老师教学非常详细，很多东西是在大学课堂学不到的，值得一看,2021年2月9日
负电,python爬虫实战,python小强,python爬虫实战,B站up主,https://space.bilibili.com/1162704059,经济学,不讲废话的老师，讲的很好也很容易理解，,2021年2月10日
洛华-黑域,python基础,杨淑娟,计算机,b站授权发布,https://www.bilibili.com/video/BV1wD4y1o7AS?p=146,,将python的只是抽丝剥茧般的讲解，课程有趣。比较生动。适合小白学习。,2021年2月8日
smastars,Python从入门到入土,Python_子木,Python编程,B站授权发布,https://www.bilibili.com/video/BV1wD4y1o7AS,软件工程,简单易懂 且有趣 生动形象 qwq,2021年2月9日
於玥笙,普物,允文君,物理,b站官方账号,https://www.bilibili.com/video/BV1Cs41187se,机械电子工程,他基础很扎实，讲的很细，适合学习大学物理和对物理领域感兴趣的共同学习,2021年2月3日
小小哇哇,普通心理学,寇彧,心理学,北京师范大学官网,http://jpkc.bnude.cn/ptxlxx/resource.html,汉语言文学,北师大心理学不容错过的课程之一,2021年1月19日
周美眉呀,普通心理学,陈宝国,心理学,
北师大官网,http://jpkc.bnude.cn/ptxlxx/index.html,特殊教育专业,老师讲课十分风趣幽默，一看就停不下来。知识点讲的很详细，所以分集的p特别多，看的话一定要坚持哦！,
2021.1.30
chenyinheng30,普通物理,杨振宁,物理,b站,BV1Fx411T7sV,物理,,2021年2月11日
_Super_nova_,普通天文学,李向东,天文学,中国大学MOOC：,https://www.icourse163.org/learn/NJU-1001752349?tid=1450456448#/learn/announce,天文学,入门的天文学课程，具备高中物理知识就可以，很适合入门,2021年2月10日
烟雨休,PS入门基础教程,doyoudo,平面设计,B站up主官方,BV1Xs411q7DW,视觉传达设计,强烈推荐，听过最好的PS基础教程，小白老师人美声甜，讲得条理清晰，简单易懂，千万播放,2021年2月8日
东方月圆,PS教程,b站李涛PS,ps教程,B站up主官方号,直接搜,动漫,李涛老师 永远的神  photoshop中国第一人,2021年1月19日
东方月圆,pr教程,b站up源源捣,pr教程,B站up主官方号,https://b23.tv/QsdXz7,pr教程,教程,2021年1月19日
东方月圆,拍摄教程,b站up毛帽-,拍摄,B站up主官方号,https://b23.tv/VZGd4u,拍摄,拍摄教程 还有生活VLOg,2021年1月19日
罗小格,OpenCv库的使用,,图像识别,B站（外国课程）,https://www.bilibili.com/video/BV16K411W7x9?p=1&share_medium=android&share_plat=android&share_source=QQ&share_tag=s_i&timestamp=1612838756&unique_k=0ZBpi0,电子信息工程,3小时简单介绍OpenCv，在github配有例程，适合有一定编程语言基础的同学,2021年2月9日
234523028,女性学：女性精神在现代社会中的挑战,吴敏,哲学类,B站/中国大学MOOC,https://www.icourse163.org/course/SCU-21017,汉语言文学,适合对女性主义有兴趣的，建构新的男女平衡,2021年1月19日
多啦噩梦S,你正需要的写作课,IceFiction,编剧/文学系,B站up,https://space.bilibili.com/674570492/,戏剧影视文学,剧本写作时的一些知识点总结，简短、总结性极强、对无论是在校学习的学生还是已经入行的专业编剧都适合看一看,2021年2月10日
自渡iu,内科学,,中医学,爱课程app,,中医学,适合北方同学们观看，口音亲切讲的也很详细,2021年2月8日
嘉沐晨,南开大学-政治经济学（国家级精品课）,张俊山,马克思主义政治经济学,中国大学MOOC,http://www.icourses.cn/sCourse/course_3699.html,国际经济与贸易,老师讲解的很详细，而且举的例子很清晰，通俗易懂。配套的是是马工程版本的教材,2021年1月19日
ZCild,N2语法,日语之森林,日语,B站官方账号,https://www.bilibili.com/video/BV1Us411v7xa,汉语言文学,老师超级超级超级可爱，而且双语教学,2021年2月9日
罗小格,MSP432的使用,物联世界,单片机,B站up主,,电子信息工程,详细地对MSP432进行了基于TI公司在CCS内置的例程进行讲解，十分适合参加电赛的同学学习,2021年2月9日
I沈逸老师I,模拟电子技术基础,郑益慧,电子信息工程,B站,BV1Gt411b7Zq,电子信息工程,上海交大的郑益慧老师所讲，讲课通俗易懂，也十分精炼，配套模拟电子技术基础第四版课本进行使用，适合自学以及考研的同学看。请记得：按时完成老师布置的课下作业，会受益颇深哦~,2021年2月9日
Spark100,名侦探柯南与化学探秘,徐海等,化学,B站up主,https://www.bilibili.com/video/BV1tE41127J4?from=search&seid=959413335119292996,无机非金属材料工程,中南大学最热门的公选课，懂的都懂，课程通过引入《名侦探柯南》中的相应动画片段来引入化学有关知识点而开展课程教学,2021年2月10日
Snowlen,名画百幅赏析,杨琪,美术,中国大学MOOC,https://www.icourse163.org/course/HEPSVE-361006?tid=1450366513,光电信息,老师十分擅长引导思考，构建自己的审美认知，适合这方面审美的入门,2021年2月1日
槐序,民法,张翔,法学,法考机构公开课,,法学,厚大法考受欢迎老师，知识逻辑清晰，老师可爱,2021年1月16日
繁星点点,民法,钟秀勇老师,法学,法考机构公开课,直接搜，有视频合集,大一法学萌新,每一专题都能通过案例讲解，容易理解，上课听不懂就听这个老师的,2021年1月19日
化肥,每日英语听写 Daily English Dictation 1-400,Coach Shane,英语,B站官方账号,https://www.bilibili.com/video/BV1U7411a7xG?t=52&p=15,英语,听力量不多，贵在坚持.,2021年2月8日
将神子,美国现代主义文学选读,宋惠慈,英美文学,网易公开课,https://open.163.com/newview/movie/free?pid=JESFE71AN&mid=PESFE71BA,英语翻译,适合对英美文学专业的学生课外拓展用，或者对美国文学的感兴趣的小伙伴,2021年2月10日
Doubllllllz,路径规划与轨迹跟踪系列算法学习,小黎的Ally,智能汽车路径规划,B站up主,https://www.bilibili.com/video/BV19T4y1M7uR,软件工程,TIPS：不适合零基础的智能算法学习（B站为数不多讲人工势场法的老师）(已更新至B样条曲线）,2021年2月9日
月光宝盒101,路基工程,方左英、方福森,道路与铁路工程,b站,https://www.bilibili.com/video/BV1dV411J7Vd,路基工程,,2021年6月8日
东方月圆,logo设计,b站up主斗墨品牌,logo设计,B站up主官方号,直接搜,logo设计,感觉up主的设计 感觉眼目一新 有种天赋感,2021年1月19日
羊驼Abigail,流体力学,房佳蓓等,流体力学,中国大学慕课,,大气科学,老师娓娓道来，十分简洁明了地讲解了流体力学的重要概念和计算，是很好的流体力学入门课程，特别适合学气象的同学们,2021年2月8日
青山不老asdf,流体力学,赵汉中教授,,,,,,2021年8月24日
灰度,零死角玩转stm32,刘火良,零死角玩转stm32,b站官方账号,BV1Xs411g7Aj,通信工程,起始从stm32固件库入手，对后期stm32固件库编程会有一个具体的认识，各种外设讲解详细有条理，不至于混乱，从51过渡强推,2021年2月8日
李平平和赵安安,零起点俄语入门,张金兰,俄语,学习强国,,俄语,适合入门学习，老师很友好，内容相对简单,2021年2月8日
Eva,零基础入门学习Python,鱼c-小甲鱼,python,b站官方账号,先搜up主再搜Python,土木工程,同上,2021年1月19日
张尔莫斯,领导心理学,talben shahar,心理学,网易公开课,https://open.163.com/newview/movie/free?pid=MAOLIFV6H&mid=MAOLIS3K3,心理学,,2021年2月9日
Inale,量子力学,Leonard Susskind,量子力学,网易公开课,http://open.163.com/special/opencourse/mechanics.html,高分子材料与工程,,2021年1月16日
Freeliner,量子力学,B站UP主没尾巴的耗子,物理学,B站官方账号,B站搜“兰兰的不自量力”,,深入浅出，讲解详细。适合考研或想学习量子力学的同学。,2021年1月18日
昂然Sama,量子力学,王可嘉,物理学,b站,https://www.bilibili.com/video/BV13E41147eJ,物理,,2021年4月2日
十五的月亮十六袁,力学,物理系的允文君,力学,b站up主,https://www.bilibili.com/video/BV17s41187Hj,大学物理,对物理专业的我来说，这就是救命的。,2021年2月9日
星海的游吟诗人,离散数学,刘田 屈婉玲 王捍贫,计算机科学与技术,爱课程,http://www.icourses.cn/sCourse/course_6447.html,,北大讲师，国家精品课，内容较完整,2021年1月17日
baozi921,理论力学（物理类）,任延宇,物理学,B站/中国大学MOOC,https://www.icourse163.org/course/HIT-1206323802,物理学,老师很有情怀，讲课清晰明了，而且有板书推公式，缺点是内容比较基础，适合入门,2021年1月29日
Freeliner,理论力学,任延宇,物理学,中国大学MOOC,https://www.icourse163.org/course/HIT-1206323802,,任老师亲自上传的课程，PPT制作精美，板书工整漂亮。声音洪亮，语言流畅。思路清晰，条理分明，解惑疑难。在讲授知识的同时传达对物理的深刻理解。,2021年1月18日
ChanPython,理论力学,未知,力学,国家精品课,,机械类,老师讲得非常好，期末靠他没问题,2021年2月9日
是你的翌耀呀,老年心理学,北大张昕,心理学,B站,https://space.bilibili.com/33937085/video,心理学,,2021年12月6日
胡思乱想的咸鱼,老男孩Python全栈开发29期全套,程序员_Egon_爱根老师,Python软件设计,B站官方账号,https://www.bilibili.com/video/BV1QE41147hU,软件工程,老师讲解系统深入，目前来说是找到的最系统的python课了，同时没有了学院派的束缚，听起来有趣，我已经看到了600多课,2021年2月9日
,劳动与社会保障法,熊晖,法学,mooc网,,劳动与社会保障法,抱有人文主义视角的劳动法教学,2021年2月9日
风-城-烟-雨,蓝桥杯编程比赛题解,**,蓝桥杯编程比赛题解,B站up主,BV1QE411E7ft,蓝桥杯,近乎全面的蓝桥杯java组题解,2021年2月10日
是我阿克希呀,适老居住空间与环境设计,周燕珉,建筑设计,学堂在线,https://www.xuetangx.com/course/THU08281000383/4227267?channel=learn_title,建筑学,介绍我国人口老龄化现状居住政策，从多角度讲解建筑项目的适老化设计,2021年2月9日
晓,军事理论,艾跃进,军事理论,四月网,,机工,对我们的思想有很大的启发,2021年1月16日
露水,经济学原理,钱颖,经济学,爱课程,http://www.icourses.cn/sCourse/course_3004.html,法学,了解一些经济学~以更加宏观的视角看世界~,2021年1月16日
渺云掠影,经济数学,高数叔的百宝箱,高等数学,B站up主,BV1FA411s79E,物流管理,对定理证明讲授清晰易懂,2021年2月9日
乌漆麻黑,近世代数/抽象代数,b站up主无尽沙砾,数学与应用数学,b站官方账号,,数学与应用数学,up主自制的，讲的很细致，拯救了我的近世代数。但是还没讲完，up主还在更新拓扑学之类的视频，需要或者感兴趣的可以去康康,2021年1月18日
Ayzjl,金融市场基础知识,北北,金融市场基础知识,b站官方账号,https://www.bilibili.com/video/BV1Ab411V7iU,证券初级考试,让我在迷茫的考试不知道如何复习找到了一条小路。就是内容有广告，请看的时候注意甄别,2021年2月9日
SailorKong,解剖学,霍琨,医学相关,辽宁资源共享,http://sharecourse.upln.cn/pdt/sharecourse/index.html,运动人体科学&电子信息工程,板书精良，灵魂画家，由浅入深，受益匪浅。,2021年1月18日
自渡iu,解刨学基础,李云庆,中医学,爱课程app,,中医学,,2021年2月8日
小荷才露尖尖角,结晶学与矿物学,赵珊荣,结晶学与矿物学,中国大学MOOC,直接搜,地质学类,讲的很清晰，还有实习课的录像。而且教材都是她出的。,2021年1月18日
天気,结构生物化学,杨荣武,生物科学,中国大学MOOC,https://www.icourse163.org/course/NJU-1001572004,生物技术,超优质生化课程资源，老师讲解得很清晰而且很有趣,2021年1月18日
梦蝶竹叶,结构生物化学,杨荣武,生物技术,中国大学慕课,,生物技术,老师讲的很好,2021年2月9日
cedrick,结构力学,范小春,结构力学,中国大学慕课,,土木工程,授课简单易懂，用的是最通俗易懂的语言来传授知识，而且这是我们学校的老师，强烈向大家安利,2021年2月3日
cedrick,结构力学,朱慈勉,结构力学,超星,搜结构力学 朱慈勉（超星版本）,土木工程,结构力学比较难的版本，很注重定性分析思维的培养,2021年2月3日
WL王嘉尔总站,简明世界史 一、二,潘迎春,历史学,中国大学MOOC（国家精品课）,https://www.icourse163.org/course/WHU-230009,历史学（师范）,教材重点都涉及到，一个视频时间不长全是干货，老师的语言也很清晰，适合反复观看,2021年2月8日
东方月圆,剪辑教程,b站up南门录像厅,剪辑,B站up主官方号,https://b23.tv/hpUrGs,剪辑,干货满满,2021年1月19日
魂帝HD,基于VS2019的C语言教程,Frank,C语言入门,b站官方账号,https://www.bilibili.com/video/BV1qE411d7Zx,汽车服务工程,前微软大佬，讲解通俗易懂，经常举一些生活中的例子,2021年1月27日
Thello,基于STM32CubeMX和HAL驱动库的嵌入式系统设计,漆强,单片机STM32,MOOC,（在MOOC上查找）,光电信息科学与工程,这个课不一定适合完完全全零基础的同学，虽然但是，在有少量了解的情况下，就会老师讲得很清楚，也很适合像我这样的菜鸡，而且目前我在网上找到的系统地教STN32CubeMX和HAL库使用的课程真不多，跟着老师现在也可以写一些代码了。,2021年2月8日
漠上枯灯,机械制图,田凌,机械类,爱课程,http://www.icourses.cn/sCourse/course_2971.html,机械类,课程前面大部分都是田凌老师在讲，看了后感觉讲的很利于理解，不像书上那种，说的比较模糊,2021年1月17日
SUPER MACHINIST,机械制图,田凌,机械类,大学资源网,http://www.dxzy163.com/view/index1504.html,机械类,第58号的网友已经在上面提过这位老师了，但是他的地址貌似是错的吧，这个是我自己找到的视频地址,2021年1月18日
何必标一名,机械原理,,机械,B站/中国大学MOOC,https://www.icourse163.org/course/NWPU-20007,机械,,2021年2月9日
何必标一名,机械设计,,机械,B站/中国大学MOOC,https://www.icourse163.org/course/NWPU-17001,机械,,2021年2月9日
子望兄,机械设计,吴鹿鸣,机械设计,爱课程,http://www.icourses.cn/sCourse/course_3163.html,机械设计制造及其自动化,机械设计为机械类专业的重点课程，其公式复杂，内容繁多，并不好学。吴鹿鸣教授讲解的机械设计深入浅出，建议配套西北工业大学的《机械设计》（濮良贵）书使用更香（现已出到第十版）,2021年2月27日
等七人合体,计算机二级MS Office,小黑老师,计算机应用,b站官方账号,https://www.bilibili.com/video/BV1Xt411g7jT,旅游管理,老师讲课细致，语言很幽默，学起来很有兴趣，对于小白来说很有用，细节也很多都讲到了,2021年1月21日
独行飞猪,计算机,pick黑马程序员,计算机,B站官方账号,https://b23.tv/hrvJ53,软件工程,前段入门超级适合，老师讲课诙谐幽默,2021年1月17日
莲鲤,计量经济学,庞皓,统计,B站,https://www.bilibili.com/video/BV1Ax4117793,会计,虽然十几年前的录制画质感人，但老师讲解思路非常清晰,2021年1月28日
香菜不吃葱,计量经济学,陈志鸿、唐丹、潘红宇,经济学,bilibili,https://www.bilibili.com/video/BV1gV411E7wS,经管,,2021年6月10日
三里河的北风,积极心理学,Tal,心理学,网易公开课,BV1Gs411o71d,侦查学,想要调整自己的心态，学习如何获取幸福，可以看看这个视频。,2021年1月18日
张尔莫斯,积极心理学,talben shahar,心理学,网易公开课,,心理学,,2021年2月9日
它魔亓,基礎會計學,,基礎會計學,爱课程（国家精品课）,http://www.icourses.cn/sCourse/course_7038.html,國際經濟與貿易,老師講課清晰明了，主要就是能聽進去,2021年2月9日
良辰,java基础,颜群,计算机,B站up主,https://b23.tv/O6szJF,计算机,最详细的java基础课程（个人认为）,2021年2月9日
Brian,货币银行学,黄益平,金融,B站、华文慕课,http://www.chinesemooc.org/mooc/4860,金融,本课是黄益平教授2014年秋季学期给北大国发院本科金融双学位开的，本课程最大的特点是理论联系实际、案例丰富。其本身就是学术大佬，又出任过花旗董事总经理、巴克莱董事总经理，在15年-18年其又当选为央行货币政策委员会委员。（B站的不全，华文慕课的视频全）,2021年2月8日
莲鲤,货币金融学,翁舟杰,金融,中国大学MOOC,https://www.icourse163.org/course/SWUFE-1003017009,会计,课程视频剪辑精良，PPT动画清晰美观，老师讲解生动易懂,2021年1月28日
氺来,货币金融学,谢绵陛,金融学,中国大学mooc,https://www.icourse163.org/course/preview/jmu-1206689809/?tid=1207020210,金融学,可以为金融学建立基本框架，很适合作为入门课程,2021年2月11日
男神的气质,混凝土结构基本原理,顾祥林,土木工程,中国大学MOOC,https://www.icourse163.org/course/TONGJI-53003,土木工程,,2021年1月17日
小齐全全,混凝土结构基本原理,顾祥林,混凝土结构基本原理,B站（大学公开课）,BV1EW411A7cR,土木工程,,2021年2月6日
MOUSEAT,混沌动力学基础,郝柏林,物理,B站（大学公开课）,BV1FW41157zW,化学,差点就成为朗道学生的中国院士,2021年2月9日
东方月圆,绘画教程,b站up主至尚君,绘画,B站up主官方号,https://b23.tv/sPrVtG,动漫,绘画教程 很良心,2021年1月19日
东方月圆,绘画教程,b站upKrenz,绘画,B站up主官方号,https://b23.tv/A9vKok,动漫,绘画教程 懂的都懂,2021年1月19日
东方月圆,绘画教程,b站up插画设计师-西瓜,绘画,B站up主官方号,https://b23.tv/2PDeSX,动漫,procreate绘画教程 零基础,2021年1月19日
HelloMorld,汇编语言程序设计,钱晓捷、张青,计算机科学与技术,中国大学MOOC,https://www.icourse163.org/course/ZZU-1001796025?tid=1206810211,计算机科学与技术,讲解清晰，循序渐进，没有废话。,2021年2月9日
雪,化工热力学,冯新,化工热力学（化学工程分支）,B站/MOOC都有,https://www.icourse163.org/course/NJTECH-1001752212,化工,博士生导师，推荐的这门课是老师上课期间录制的，讲得很好。学校里江苏省化工热力学教材就是她主编的,2021年2月8日
云慢慢,红楼梦,欧丽娟,汉语言文学,台湾大学公开课,http://ocw.aca.ntu.edu.tw/ntu-ocw/index.php/ocw/cou/101S120/7,汉语言文学,讲解内容有深度，可以引发我们新思路,2021年1月19日
龍渊,宏观经济学二十五讲,徐高,经济学,B站官方账号,https://www.bilibili.com/video/BV1oE411Z7TU?from=search&seid=13937971863718057561,经济学,建议首先学习初级宏观，然后本课，然后中级宏观，会让你在理论和实践上有较深理解,2021年2月9日
香菜不吃葱,宏观经济学,北大光华教授唐遥,经济学,bilibili,https://www.bilibili.com/video/BV1tJ411z7x2,经管,,2021年3月1日
JiangNanjiu江南九,宏观经济学,叶航,经济系,B站,,经济学,,2021年3月15日
它魔亓,宏觀經濟學,小卷毛愛學習,宏觀經濟學,B站up主,https://b23.tv/jDlRZO,國際經濟與貿易,相信我，老師講的沒聽懂，她講的特別清晰，一定可以听懂,2021年2月9日
穷开心,好玩的广告学,汤志耘,广告学,中国大学mooc,直接搜索即可,广告学,专业老师推荐，讲述清晰有趣,2021年1月18日
哔哩哔哩首席执刑官,行为经济学,孟涓涓,经济学,爱课程,https://www.icourse163.org/course/PKU-1002618003,经济学,好好学习，天天向上,2021年2月25日
香菜不吃葱,行为经济学,北大光华教授孟涓涓,经济学,bilibili,https://www.bilibili.com/video/BV1xJ411z7Ln,经管,,2021年3月1日
不想学习书法的书法生,行草篆隶,陈建忠书法学堂,书法学,B站up主,https://b23.tv/AGgSS0,书法学,书法普及大师，业余的可以跟着学,2021年2月9日
十五的月亮十六袁,光学,物理系的允文君,光学,b站up主,https://www.bilibili.com/video/BV1mx41137dQ,大学物理,分享的网址只有绪论，其他优质课程在他个人主页里找,2021年2月9日
SNOWIOR,固体物理学,李丹 刘斌,大学物理,MOOC,https://www.icourse163.org/course/NJTU-1207232804?tid=1207572205,物理学,讲的比较基础，但是能对固体物理及半导体，凝聚态的基础知识有一定的了解,2021年2月9日
kkkllkkkk,古典油画静物,沈若,古典油画,b站官方账号,BV18x411L7V5,艺术学,视频氛围安静，知识详细，讲解的素描关系的建立,2021年2月10日
云慢慢,古代文论,杨宁老师,汉语言文学,官方B站号,搜up主：西竹书院 杨宁老师,汉语言文学,思路清晰，语言明白易懂,2021年1月19日
小小哇哇,古代汉语,胡安顺老师,汉语言文学,爱课程,http://www.icourses.cn/sCourse/course_7300.html,汉语言文学,很棒,2021年1月19日
张紫溟,古代汉语,高小方,古代汉语,超星学习通,直接搜索,汉语言文学,南派古代汉语代表人物，著《古代汉语》,2021年2月7日
